NTA,cnt_restaurants
MN28,2
QN61,1
BK09,1
BX22,1
QN52,2
QN28,1
QN72,2
BK75,1
MN32,4
BK30,1
BK69,3
SI25,1
MN15,7
BX29,1
BK82,1
MN06,1
MN27,1
QN20,3
QN05,1
BX52,1
BK25,1
BX01,1
BK78,1
BK42,2
BK83,1
BX06,1
BK88,2
BK60,3
QN01,1
BK63,1
BK31,2
BK44,2
MN20,3
MN19,2
MN17,6
QN71,1
MN21,3
BK26,2
BK73,5
SI36,2
BK37,2
QN68,1
QN19,1
MN25,7
BX05,1
QN21,1
QN57,1
QN70,3
MN12,3
QN06,2
SI22,2
QN29,2
BK76,2
BK41,1
MN04,2
BK28,2
QN17,1
BK17,1
QN31,3
BX49,1
MN13,6
QN46,3
MN14,1
BK68,2
MN40,1
QN54,1
MN09,1
BX13,1
QN50,1
MN34,1
MN24,1
MN22,4
BX41,1
MN23,3
SI45,1
BK45,3
MN01,1
MN36,4
