DBA,NTA
PIER 60,
ARABICA COFFEE,BK09
STARBUCKS COFFEE #14090,BK17
DUNKIN',BK25
KNAPP ST PIZZA II,BK26
SPICY BAI CHUAN RESTAURANT,BK28
BUONASERA RESTAURANT PIZZA,BK30
GLOW THAI RESTAURANT,BK31
Luck Thai Brooklyn,BK37
SAWASDE THAI COOKING,BK41
EL CHANGARRITO,BK42
HIGHWAY BAGELS,BK44
WILKEN'S FINE FOOD,BK45
FLATBUSH  BAGEL,BK60
FRANKLIN 820,BK63
THAI HOLIC,BK68
BURGER IM,BK69
LA TAQUERIA,BK73
BROOKLYN TEA,BK75
SAPPORO ICHIBAN,BK76
EIM DEE THAI,BK78
CATERINA PIZZA,BK82
EL CHARRO BAKERY II,BK83
FALLSBURGH BAGELS,BK88
"DUNKIN',' BASKIN ROBBINS",BX01
NICK GARDEN COFFEE SHOP,BX05
EMILIA'S RESTAURANT,BX06
THAI MAX,BX13
Arlington Cafe,BX22
CASTLE CHICKEN,BX29
TITA'S DONUTS AND COFFEE SHOP,BX41
TANA THAI RESTAURANT,BX49
DUNKIN,BX52
YUMMY THAI,MN01
SITA THAI,MN04
CHARM THAI CORP,MN06
THAI MARKET,MN09
RAENU THAI,MN12
TARALLUCCI E VINO,MN13
THAI 72,MN14
CAFE 57,MN15
JUNIOR'S RESTAURANT,MN17
JOHNS CAFE & RESTAURANT,MN19
JAIYA THAI ORIENTAL RESTAURANT,MN20
KATI THAI CUISINE,MN21
THE SABIENG THAI,MN22
WASHINGTON SQUARE DINER,MN23
THE LITTLE PRINCE,MN24
MILLENIUM HILTON,MN25
CRIMINAL COURT BLDG CAFETERIA,MN27
A & C KITCHEN,MN28
BUA THAI RAMEN & ROBATA GRILL,MN32
THAI SUPER,MN34
ZON BAKERY & CAFE,MN36
THAI HOT BOX,MN40
FORTIS RESTAURANT,QN01
DI-JUICE,QN05
ROMEO'S PIZZERIA,QN06
STAR OF SIAM THAI KITCHEN,QN17
MCDONALD'S,QN19
DELIGHT DONUT,QN20
NUR THAI,QN21
BLACK THAI,QN28
SABAY THAI,QN29
SWEET LEAF,QN31
THAI 101,QN46
THAI SON,QN50
BAKERY DE PARIS,QN52
THAI HOUSE,QN54
OLD COUNTRY BAGEL,QN57
AMINA THAI,QN61
MAPLE THAI EATERY,QN68
PRIK THAI KITHCEN,QN70
KATCH,QN71
BOHEMIAN BEER GARDEN,QN72
ROYAL COFFEE SHOP,SI22
BURGER KING,SI25
LEE'S TAVERN,SI36
WHITE CASTLE,SI45
