nta_code,nta_description,cnt_restaurants
,American,1
BK09,Coffee/Tea,1
BK17,Coffee/Tea,1
BK25,Donuts,1
BK26,Chinese,1
BK26,Pizza,1
BK28,Chinese,1
BK28,Pizza,1
BK30,Italian,1
BK31,Thai,2
BK37,Thai,2
BK41,Thai,1
BK42,Spanish,1
BK42,Thai,1
BK44,Bagels/Pretzels,1
BK44,Japanese,1
BK45,Chicken,1
BK45,Sandwiches,1
BK45,Thai,1
BK60,American,2
BK60,Bagels/Pretzels,1
BK63,American,1
BK68,Thai,2
BK69,American,1
BK69,Hamburgers,1
BK69,Thai,1
BK73,American,1
BK73,Mexican,1
BK73,Thai,3
BK75,Coffee/Tea,1
BK76,Japanese,1
BK76,Thai,1
BK78,Thai,1
BK82,Pizza,1
BK83,Bakery Products/Desserts,1
BK88,Donuts,1
BK88,Other,1
BX01,Donuts,1
BX05,Coffee/Tea,1
BX06,Italian,1
BX13,Thai,1
BX22,American,1
BX29,Chicken,1
BX41,Bakery Products/Desserts,1
BX49,Thai,1
BX52,Donuts,1
MN01,Thai,1
MN04,Thai,2
MN06,Thai,1
MN09,Thai,1
MN12,Thai,3
MN13,Italian,1
MN13,Thai,5
MN14,Thai,1
MN15,American,1
MN15,Mexican,1
MN15,Thai,5
MN17,American,2
MN17,Coffee/Tea,2
MN17,Mexican,1
MN17,Thai,1
MN19,American,1
MN19,Thai,1
MN20,Thai,3
MN21,Thai,3
MN22,Thai,4
MN23,American,1
MN23,Thai,2
MN24,French,1
MN25,American,3
MN25,Irish,1
MN25,Other,1
MN25,Thai,2
MN27,American,1
MN28,Chinese,1
MN28,Thai,1
MN32,Thai,4
MN34,Thai,1
MN36,Bakery Products/Desserts,1
MN36,Hamburgers,1
MN36,Thai,2
MN40,Thai,1
QN01,Caribbean,1
QN05,"Juice, Smoothies, Fruit Salads",1
QN06,Bakery Products/Desserts,1
QN06,Pizza,1
QN17,Thai,1
QN19,Hamburgers,1
QN20,American,1
QN20,Coffee/Tea,1
QN20,Thai,1
QN21,Thai,1
QN28,Thai,1
QN29,Thai,2
QN31,Coffee/Tea,1
QN31,Thai,2
QN46,Thai,3
QN50,Southeast Asian,1
QN52,American,1
QN52,Coffee/Tea,1
QN54,Thai,1
QN57,Bagels/Pretzels,1
QN61,Thai,1
QN68,Thai,1
QN70,Thai,3
QN71,American,1
QN72,Czech,1
QN72,Irish,1
SI22,American,1
SI22,Thai,1
SI25,Hamburgers,1
SI36,American,1
SI36,Bakery Products/Desserts,1
SI45,Hamburgers,1
